ISRC,ISBN（UPC）,合约编号,审批文号,歌曲名称,名称拼音,母带权百分比,语言,授权开始时间,授权结束时间,发行日期,(P)版权实有主体,专辑名称,授权媒体项目,授权音像制品,授权地区,时长,风格,备注,演唱者,权利百分比,演唱者经纪公司,授权期限,作词,权利百分比,版权公司（op）,版权公司（sp）,授权期限,作曲,权利百分比,版权公司（op）,版权公司（sp）,授权期限,编曲,权利百分比,版权公司,授权期限,制作人,权利百分比,版权公司,授权期限
CN100001,9999999,BJ-1001,100001,示例歌曲,shiligequ,80,华语,2010/1/30,2015/12/30,2015/1/1,示例公司,示例专辑,"运营商,互联网","CD,DVD",中国大陆,3:05,流行,,演唱者A,50,公司名称,2015/12/20,甲,100,公司名称,公司名称,2015/12/20,甲,100,公司名称,公司名称,2015/12/20,甲,100,公司名称,2015/12/20,甲,100,公司名称,2015/12/20
TW100002,9999999,BJ-1002,100002,示例歌曲2,shiligequ2,100,其他,2010/1/30,2015/12/30,2015/1/2,示例公司,示例专辑,全部,全部,中国大陆,1:00,"摇滚,舞曲",,"演唱者A,演唱者B","50,100","公司名称A,公司名称B","2015/12/20,2016/12/31","甲,乙","10,50","甲公司,乙公司","甲公司,乙公司","2015/12/20,2015/12/20","甲,乙","10,50","甲公司,乙公司","甲公司,乙公司","2015/12/20,2015/12/20","甲,乙","10,50","甲公司,乙公司","2015/12/20,2015/12/20","甲,乙","10,50","甲公司,乙公司","2015/12/20,2015/12/20"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
